operation_id,job_id,status,location,input_timestamp,output_timestamp
O261,J26,completed,M1,0,102.30000000000001
O262,J26,completed,M1,0,102.30000000000001
O291,J29,completed,M1,15,249.79999999999993
O292,J29,completed,M1,15,249.79999999999993
O293,J29,completed,M1,15,249.79999999999993
O021,J2,completed,M1,7,408.69999999999993
O022,J2,completed,M1,7,408.69999999999993
O161,J16,completed,M1,13,421.69999999999993
O162,J16,completed,M1,13,421.69999999999993
O163,J16,completed,M1,13,421.69999999999993
O091,J9,completed,M1,6,471.69999999999993
O092,J9,completed,M1,6,471.69999999999993
O231,J23,completed,M1,8,477.69999999999993
O232,J23,completed,M1,8,477.69999999999993
O233,J23,completed,M1,8,477.69999999999993
O234,J23,completed,M1,8,477.69999999999993
O201,J20,completed,M1,9,490.69999999999993
O202,J20,completed,M1,9,490.69999999999993
O011,J1,completed,M1,18,503.69999999999993
O012,J1,completed,M1,18,503.69999999999993
O111,J11,completed,M1,18,516.6999999999999
O112,J11,completed,M1,18,516.6999999999999
O071,J7,completed,M1,7,547.6999999999999
O072,J7,completed,M1,7,547.6999999999999
O073,J7,completed,M1,7,547.6999999999999
O041,J4,completed,M1,11,586.200000000001
O042,J4,completed,M1,11,586.200000000001
O043,J4,completed,M1,11,586.200000000001
O131,J13,completed,M1,4,648.300000000001
O132,J13,completed,M1,4,648.300000000001
O133,J13,completed,M1,4,648.300000000001
O134,J13,completed,M1,4,648.300000000001
O151,J15,completed,M1,17,679.300000000001
O152,J15,completed,M1,17,679.300000000001
O153,J15,completed,M1,17,679.300000000001
O154,J15,completed,M1,17,679.300000000001
O301,J30,completed,M2,7,130.5
O302,J30,completed,M2,7,130.5
O051,J5,completed,M2,19,261.8999999999999
O052,J5,completed,M2,19,261.8999999999999
O053,J5,completed,M2,19,261.8999999999999
O081,J8,completed,M2,8,307.8999999999999
O082,J8,completed,M2,8,307.8999999999999
O281,J28,completed,M2,1,338.8999999999999
O282,J28,completed,M2,1,338.8999999999999
O171,J17,completed,M2,8,384.8999999999999
O172,J17,completed,M2,8,384.8999999999999
O221,J22,completed,M2,2,417.3000000000003
O222,J22,completed,M2,2,417.3000000000003
O141,J14,completed,M2,12,432.3000000000003
O142,J14,completed,M2,12,432.3000000000003
O143,J14,completed,M2,12,432.3000000000003
O144,J14,completed,M2,12,432.3000000000003
O191,J19,completed,M2,15,448.00000000000045
O192,J19,completed,M2,15,448.00000000000045
O193,J19,completed,M2,15,448.00000000000045
O241,J24,completed,M2,12,633.400000000001
O242,J24,completed,M2,12,633.400000000001
O243,J24,completed,M2,12,633.400000000001
O244,J24,completed,M2,12,633.400000000001
O251,J25,completed,M2,7,664.400000000001
O252,J25,completed,M2,7,664.400000000001
O253,J25,completed,M2,7,664.400000000001
O254,J25,completed,M2,7,664.400000000001
O271,J27,completed,M3,20,522.9000000000007
O272,J27,completed,M3,20,522.9000000000007
O273,J27,completed,M3,20,522.9000000000007
O274,J27,completed,M3,20,522.9000000000007
O031,J3,completed,M3,12,632.7000000000011
O032,J3,completed,M3,12,632.7000000000011
O033,J3,completed,M3,12,632.7000000000011
O181,J18,completed,M4,4,363.0000000000002
O182,J18,completed,M4,4,363.0000000000002
O183,J18,completed,M4,4,363.0000000000002
O184,J18,completed,M4,4,363.0000000000002
O211,J21,completed,M4,18,455.1000000000005
O212,J21,completed,M4,18,455.1000000000005
O061,J6,completed,M4,12,511.1000000000007
O062,J6,completed,M4,12,511.1000000000007
O063,J6,completed,M4,12,511.1000000000007
O064,J6,completed,M4,12,511.1000000000007
O121,J12,completed,M4,4,517.1000000000007
O122,J12,completed,M4,4,517.1000000000007
O123,J12,completed,M4,4,517.1000000000007
O101,J10,completed,M4,8,617.8000000000011
O102,J10,completed,M4,8,617.8000000000011
O103,J10,completed,M4,8,617.8000000000011
O104,J10,completed,M4,8,617.8000000000011
