part,job,operation,machine,event,time,delay,queue_length,queue_ops
P26,J26,O261,GEN->M1,delivery,0.0,8.0,,
P26,J26,O261,M1,queued,8.0,,1.0,O261
P26,J26,O261,M1,start,8.0,,0.0,
P23,J23,O231,GEN->M1,delivery,16.0,8.0,,
P23,J23,O231,M1,queued,24.0,,1.0,O231
P19,J19,O191,GEN->M4,delivery,32.1,4.0,,
P19,J19,O191,M4,queued,36.1,,1.0,O191
P19,J19,O191,M4,start,36.1,,0.0,
P26,J26,O261,M1,end,39.0,,,
P23,J23,O231,M1,start,39.0,,0.0,
P5,J5,O051,GEN->M1,delivery,40.2,8.0,,
P19,J19,O191,M4,end,42.1,,,
P23,J23,O231,M1,end,45.0,,,
P5,J5,O051,M1,queued,48.2,,1.0,O051
P5,J5,O051,M1,start,48.2,,0.0,
P5,J5,O051,M1,end,54.2,,,
P18,J18,O181,GEN->M1,delivery,56.300000000000004,8.0,,
P18,J18,O181,M1,queued,64.30000000000001,,1.0,O181
P18,J18,O181,M1,start,64.30000000000001,,0.0,
P5,J5,O052,M1,queued,64.4,,1.0,O052
P18,J18,O181,M1,end,70.30000000000001,,,
P5,J5,O052,M1,start,70.30000000000001,,0.0,
P30,J30,O301,GEN->M1,delivery,72.4,8.0,,
P30,J30,O301,M1,queued,80.4,,1.0,O301
P18,J18,O182,M1->M2,delivery,80.5,4.0,,
P5,J5,O052,M1,end,83.30000000000001,,,
P30,J30,O301,M1,start,83.30000000000001,,0.0,
P18,J18,O182,M2,queued,84.5,,1.0,O182
P18,J18,O182,M2,start,84.5,,0.0,
P26,J26,O262,M1,queued,88.6,,1.0,O262
P30,J30,O301,M1,end,89.30000000000001,,,
P26,J26,O262,M1,start,89.30000000000001,,0.0,
P6,J6,O061,GEN->M1,delivery,96.69999999999999,8.0,,
P26,J26,O262,M1,end,102.30000000000001,,,
P26,J26,,,done,102.30000000000001,,,
P6,J6,O061,M1,queued,104.69999999999999,,1.0,O061
P6,J6,O061,M1,start,104.69999999999999,,0.0,
P30,J30,O302,M1->M2,delivery,104.79999999999998,4.0,,
P30,J30,O302,M2,queued,108.79999999999998,,1.0,O302
P6,J6,O061,M1,end,110.69999999999999,,,
