part,job,operation,machine,event,time,delay,queue_length,queue_ops
P1,J1,O011,GEN->M1,delivery,0.0,53.0,,
P1,J1,O011,M1,queued,53.0,,1.0,O011
P1,J1,O011,M1,start,53.0,,0.0,
P1,J1,O011,M1,end,66.0,,,
P12,J12,O121,GEN->M2,delivery,106.1,33.0,,
P12,J12,O121,M2,queued,139.1,,1.0,O121
P12,J12,O121,M2,start,139.1,,0.0,
P12,J12,O121,M2,end,154.1,,,
P1,J1,O012,M1,queued,179.2,,1.0,O012
P1,J1,O012,M1,start,179.2,,0.0,
P1,J1,O012,M1,end,192.2,,,
P1,J1,,,done,192.2,,,
P7,J7,O071,GEN->M1,delivery,232.29999999999998,53.0,,
P7,J7,O071,M1,queued,285.29999999999995,,1.0,O071
P7,J7,O071,M1,start,285.29999999999995,,0.0,
P7,J7,O071,M1,end,291.29999999999995,,,
P18,J18,O181,GEN->M1,delivery,338.4,53.0,,
P18,J18,O181,M1,queued,391.4,,1.0,O181
P18,J18,O181,M1,start,391.4,,0.0,
P7,J7,O072,M1,queued,391.5,,1.0,O072
P18,J18,O181,M1,end,404.4,,,
P7,J7,O072,M1,start,404.4,,0.0,
P7,J7,O072,M1,end,417.4,,,
P29,J29,O291,GEN->M1,delivery,444.5,53.0,,
P29,J29,O291,M1,queued,497.5,,1.0,O291
P29,J29,O291,M1,start,497.5,,0.0,
P7,J7,O073,M1,queued,497.6,,1.0,O073
P29,J29,O291,M1,end,503.5,,,
P7,J7,O073,M1,start,503.5,,0.0,
P7,J7,O073,M1,end,534.5,,,
P19,J19,O191,GEN->M1,delivery,550.6,53.0,,
P19,J19,O191,M1,queued,603.6,,1.0,O191
P19,J19,O191,M1,start,603.6,,0.0,
P7,J7,O074,M1,queued,603.7,,1.0,O074
P19,J19,O191,M1,end,616.6,,,
P7,J7,O074,M1,start,616.6,,0.0,
P7,J7,O074,M1,end,622.6,,,
P7,J7,,,done,622.6,,,
P21,J21,O211,GEN->M2,delivery,656.7,33.0,,
P21,J21,O211,M2,queued,689.7,,1.0,O211
P21,J21,O211,M2,start,689.7,,0.0,
P21,J21,O211,M2,end,704.7,,,
P13,J13,O131,GEN->M1,delivery,722.8000000000001,53.0,,
