part,job,operation,machine,event,time,queue_length,queue_ops,run_meta,delay
P31,J31,O311,M1,queued,10.0,1.0,O311,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P7,J7,O071,M1,queued,10.0,2.0,"O311,O071","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P31,J31,O311,M1,start,10.0,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P1,J1,O011,M1,queued,10.0,2.0,"O071,O011","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P3,J3,O031,M1,queued,10.0,3.0,"O071,O011,O031","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P15,J15,O151,M1,queued,10.0,4.0,"O071,O011,O031,O151","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P26,J26,O261,GEN->M2,delivery,19.099999999999994,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P9,J9,O091,GEN->M4,delivery,19.099999999999994,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P32,J32,O321,GEN->M2,delivery,19.099999999999994,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P30,J30,O301,GEN->M2,delivery,19.099999999999994,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P10,J10,O101,GEN->M2,delivery,19.099999999999994,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P9,J9,O091,M4,queued,28.099999999999994,1.0,O091,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P26,J26,O261,M2,queued,28.099999999999994,1.0,O261,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P9,J9,O091,M4,start,28.099999999999994,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P26,J26,O261,M2,start,28.099999999999994,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P32,J32,O321,M2,queued,28.099999999999994,1.0,O321,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P30,J30,O301,M2,queued,28.099999999999994,2.0,"O321,O301","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P10,J10,O101,M2,queued,28.099999999999994,3.0,"O321,O301,O101","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P31,J31,O311,M1,end,36.0,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P7,J7,O071,M1,start,36.0,3.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P13,J13,O131,GEN->M4,delivery,36.10000000000001,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P23,J23,O231,GEN->M5,delivery,36.10000000000001,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",9.0
P5,J5,O051,GEN->M5,delivery,36.10000000000001,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",9.0
P36,J36,O361,GEN->M5,delivery,36.10000000000001,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",9.0
P24,J24,O241,GEN->M8,delivery,36.10000000000001,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",6.0
P24,J24,O241,M8,queued,43.10000000000001,1.0,O241,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P24,J24,O241,M8,start,43.10000000000001,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P13,J13,O131,M4,queued,45.10000000000001,1.0,O131,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P36,J36,O361,M5,queued,46.10000000000001,1.0,O361,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P5,J5,O051,M5,queued,46.10000000000001,2.0,"O361,O051","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P36,J36,O361,M5,start,46.10000000000001,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P23,J23,O231,M5,queued,46.10000000000001,2.0,"O051,O231","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P6,J6,O061,GEN->M7,delivery,49.10000000000002,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",6.0
P34,J34,O341,GEN->M6,delivery,53.10000000000002,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",5.0
P19,J19,O191,GEN->M8,delivery,55.10000000000002,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",6.0
P28,J28,O281,GEN->M4,delivery,55.10000000000002,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P12,J12,O121,GEN->M6,delivery,55.10000000000004,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",5.0
P6,J6,O061,M7,queued,56.10000000000002,1.0,O061,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P6,J6,O061,M7,start,56.10000000000002,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P26,J26,O261,M2,end,58.099999999999994,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P32,J32,O321,M2,start,58.099999999999994,2.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P9,J9,O091,M4,end,59.099999999999994,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P13,J13,O131,M4,start,59.099999999999994,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P34,J34,O341,M6,queued,59.10000000000002,1.0,O341,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P34,J34,O341,M6,start,59.10000000000002,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P12,J12,O121,M6,queued,61.10000000000004,1.0,O121,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P7,J7,O071,M1,end,62.0,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P1,J1,O011,M1,start,62.0,2.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P19,J19,O191,M8,queued,62.10000000000002,1.0,O191,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P38,J38,O381,GEN->M7,delivery,62.10000000000004,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",6.0
P28,J28,O281,M4,queued,64.10000000000002,1.0,O281,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P20,J20,O201,GEN->M7,delivery,64.10000000000004,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",6.0
P25,J25,O251,GEN->M7,delivery,66.10000000000005,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",6.0
P22,J22,O221,GEN->M7,delivery,68.10000000000007,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",6.0
P38,J38,O381,M7,queued,69.10000000000004,1.0,O381,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P20,J20,O201,M7,queued,71.10000000000004,2.0,"O381,O201","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P4,J4,O041,GEN->M4,delivery,72.10000000000002,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P24,J24,O241,M8,end,73.10000000000001,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P19,J19,O191,M8,start,73.10000000000001,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P25,J25,O251,M7,queued,73.10000000000005,3.0,"O381,O201,O251","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P22,J22,O221,M7,queued,75.10000000000007,4.0,"O381,O201,O251,O221","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P39,J39,O391,GEN->M8,delivery,75.19999999999997,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",6.0
P36,J36,O361,M5,end,76.10000000000001,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P5,J5,O051,M5,start,76.10000000000001,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P29,J29,O291,GEN->M4,delivery,77.19999999999997,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P21,J21,O211,GEN->M4,delivery,79.19999999999996,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",8.0
P4,J4,O041,M4,queued,81.10000000000002,2.0,"O281,O041","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P35,J35,O351,GEN->M8,delivery,81.2,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",6.0
P39,J39,O391,M8,queued,82.19999999999997,1.0,O391,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P29,J29,O291,M4,queued,86.19999999999997,3.0,"O281,O041,O291","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P6,J6,O061,M7,end,87.10000000000002,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P38,J38,O381,M7,start,87.10000000000002,3.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P1,J1,O011,M1,end,88.0,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P3,J3,O031,M1,start,88.0,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P32,J32,O321,M2,end,88.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P30,J30,O301,M2,start,88.1,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P21,J21,O211,M4,queued,88.19999999999996,4.0,"O281,O041,O291,O211","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P35,J35,O351,M8,queued,88.2,2.0,"O391,O351","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P11,J11,O111,GEN->M1,delivery,88.2999999999999,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",9.0
P34,J34,O341,M6,end,89.10000000000002,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P12,J12,O121,M6,start,89.10000000000002,0.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P14,J14,O141,GEN->M1,delivery,89.19999999999996,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",9.0
P13,J13,O131,M4,end,90.1,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P28,J28,O281,M4,start,90.1,3.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P31,J31,O312,M1,queued,93.29999999999991,2.0,"O151,O312","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P32,J32,O322,M2->M5,delivery,94.19999999999999,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",10.0
P36,J36,O362,M5->M6,delivery,95.2999999999999,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",6.0
P11,J11,O111,M1,queued,98.2999999999999,3.0,"O151,O312,O111","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P19,J19,O191,M8,end,99.10000000000001,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P39,J39,O391,M8,start,99.10000000000001,1.0,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P14,J14,O141,M1,queued,99.19999999999996,4.0,"O151,O312,O111,O141","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P6,J6,O062,M7->M4,delivery,100.39999999999985,,,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",9.0
P36,J36,O362,M6,queued,102.2999999999999,1.0,O362,"{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
P32,J32,O322,M5,queued,105.19999999999999,2.0,"O231,O322","{'release_time': 1e-06, 'n_max': 25, 'total_ops': 154}",
